No,Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num
43585,Kwazulu Natal - Health,PPE001 Surgical masks for patients,Ezombuso Group,0,24.5,100000,Each,4/8/2020,"R2,450,000.00",18/05/2020,"R2,450,000",2450000,2450000
43586,Kwazulu Natal - Health,PPE001 Surgical masks for patients,Inqaba Medical,0,17.5,100000,Each,4/8/2020,"R1,750,000.00",30/04/2020,"R1,750,000",1750000,1750000
43587,Kwazulu Natal - Health,PPE001 Surgical masks for patients,Ezamancinza Investments,0,24.6,200000,Each,4/8/2020,"R4,920,000.00",5/4/2020,"R4,920,000",4920000,4920000
43588,Kwazulu Natal - Health,PPE001 Surgical masks for patients,Dartprops 1025,0,18.5,200000,Each,4/8/2020,"R3,700,000.00",18/05/2020,"R3,700,000",3700000,3700000
43590,Kwazulu Natal - Health,PPE002 Surgical masks for healt care workers,Community Health,0,18.98,200000,Each,4/8/2020,"R3,795,000.00",30/04/2020,"R3,795,000",3795000,3795000
43592,Kwazulu Natal - Health,PPE004 Apron,CENTRAL MEDICAL,0,0.32,200000,Each,4/8/2020,"R64,000.00",,R0,0,64000
43620,Gauteng - Health,Dusks mask various sizes 2020 FFP2,FUTURE ADVERTISING AND MARKETING,0,56.91,4000,Each,4/9/2020,"R227,640.00",,"R3,376,042",3376042,227640
43621,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",150,Each,4/9/2020,"R360,000.00",21/04/2020,"R360,000",360000,360000
43622,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",16,Each,4/9/2020,"R38,400.00",5/8/2020,"R38,400",38400,38400
43623,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",2,Each,4/9/2020,"R4,800.00",23/04/2020,"R4,800",4800,4800
43624,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",21,Each,4/9/2020,"R50,400.00",5/8/2020,"R50,400",50400,50400
43625,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",24,Each,4/9/2020,"R57,600.00",23/04/2020,"R57,600",57600,57600
43626,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",250,Each,4/9/2020,"R600,000.00",21/04/2020,"R600,000",600000,600000
43627,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",300,Each,4/9/2020,"R720,000.00",21/04/2020,"R720,000",720000,720000
43628,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",300,Each,4/9/2020,"R720,000.00",29/05/2020,"R720,000",720000,720000
43629,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",350,Each,4/9/2020,"R840,000.00",21/04/2020,"R840,000",840000,840000
43630,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",4,Each,4/9/2020,"R9,600.00",5/8/2020,"R9,600",9600,9600
43631,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",4,Each,4/9/2020,"R9,600.00",21/04/2020,"R9,600",9600,9600
43632,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",48,Each,4/9/2020,"R115,200.00",23/04/2020,"R115,200",115200,115200
43633,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"4,800.00",5,Each,4/9/2020,"R24,000.00",5/8/2020,"R24,000",24000,24000
43634,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",54,Each,4/9/2020,"R129,600.00",22/04/2020,"R129,600",129600,129600
43637,Gauteng - Health,Gown surgical l/sleeves medium maz blue,Promed Technologies,0,23.14,3000,Each,4/9/2020,"R69,420.00",,R0,0,69420
43638,Gauteng - Health,Gown surgical unsterile large blue,ALFREHUTCH TRADING,0,128.75,1800,Each,4/9/2020,"R231,750.00",,R0,0,231750
43639,Gauteng - Health,Gown surgical xx-large 140x165cm,NKHANE PROJECTS AND SUPPLY,0,172.5,750000,Each,4/9/2020,"R129,375,000.00",,"R50,679,026",50679026,129375000
43640,Gauteng - Health,Gown surgical xx-large 140x165cm,NKHANE PROJECTS AND SUPPLY,0,173,78341,Each,4/9/2020,"R13,552,993.00",,R0,0,13552993
43641,Gauteng - Infrastructure Development,Infrastructure,Mass Build,Supply Infrared forehead thermometers,0,100 Thermometers,Other UOM,4/9/2020,"R450,937.50",15/12/2020,"R450,938",450938,450937.5
43642,Kwazulu Natal - Health,Infrastructure,ISU Engineering,Richmond - Richmond Chest Hospital - Power Upgrade: Existing Building Renovation and Repairs,"9,000,000.00",1,Other UOM,4/9/2020,"R9,000,000.00",,R0,0,9000000
43643,Western Cape - Health,Infrastructure,ARJO HUNTLEIGH SA,0,"1,758.32",12,EA,4/9/2020,"R21,099.79",21/10/2020,"R21,100",21100,21099.79
43644,Gauteng - Health,Mask face 3ply loops with tie disposable,DINAANE CONSULTING SERVICES,0,"2,300.00",1000,Each,4/9/2020,"R2,300,000.00",,R0,0,2300000
43645,Gauteng - Health,Mask face 3ply loops with tie disposable,DINAANE CONSULTING SERVICES,0,22.89,500000,Each,4/9/2020,"R11,445,000.00",,R0,0,11445000
43646,Gauteng - Health,Mask face aseptic blue 1 box 50 pcs,NADOLOR,0,"1,150.00",260,Each,4/9/2020,"R299,000.00",5/11/2020,"R299,000",299000,299000
43647,Gauteng - Health,Mask face surgical typ1 fluid single use,NKHANE PROJECTS AND SUPPLY,0,20.77,1800,Other UOM,4/9/2020,"R37,386.00",,R0,0,37386
43648,Gauteng - Health,Mask face surgical typ1 fluid single use,NKHANE PROJECTS AND SUPPLY,0,20.77,200000,Other UOM,4/9/2020,"R4,154,000.00",,R0,0,4154000
43649,Gauteng - Health,Mask face surgical with ties 3 ply,GROBIR MEDICAL SUPPLIERS,0,789.47,200,Box of 100,4/9/2020,"R157,894.00",15/05/2020,"R157,894",157894,157894
43650,Gauteng - Health,Mask M10 FFP1 moulded valved respirator,FUTURE ADVERTISING AND MARKETING,0,55.5,29600,Other UOM,4/9/2020,"R1,642,800.00",,R0,0,1642800
43651,Gauteng - Health,Mask M10 FFP1 moulded valved respirator,OLWE2 PROJECT MANAGEMENT CONSULTANC,0,21.85,300000,Other UOM,4/9/2020,"R6,555,000.00",13/07/2020,"R9,538,328",9538328,6555000
43652,Gauteng - Health,Mask surgical type N95;1 s,NKHANE PROJECTS AND SUPPLY,0,74.75,250000,Other UOM,4/9/2020,"R18,687,500.00",,R0,0,18687500
43680,Mpumalanga - Health,PPE002 Surgical masks for healt care workers,NKABO WATER TECHNOLOGIES,0,26.08,100000,Each,4/9/2020,"R2,607,970.00",30/04/2020,"R2,607,970",2607970,2607970
43681,Mpumalanga - Health,PPE002 Surgical masks for healt care workers,NKABO WATER TECHNOLOGIES,0,26.08,150000,Each,4/9/2020,"R3,911,955.00",5/1/2020,"R3,911,955",3911955,3911955
43682,Mpumalanga - Health,PPE002 Surgical masks for healt care workers,UMNDENI MEDICAL,0,22.51,5000,Each,4/9/2020,"R112,498.75",23/04/2020,"R112,528",112528,112498.75
43720,Western Cape - Health,PPE020 Hand sanitisers and disinfectants,Sanichem (pty) ltd,70% Alcohol,16.69,2400,EA,4/9/2020,"R40,047.60",,"R40,048",40048,40047.6
43722,Public Works,PPE021 Sanitising of buildings,Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,"95,614.64",3 weeks,Other UOM,4/9/2020,"R95,614.64",,R0,0,95614.64
43723,Public Works,PPE021 Sanitising of buildings,Greystone t/a Pronto Kleen,Cleaning contracts - Lockdown,"74,764.39",3 weeks,Other UOM,4/9/2020,"R74,764.39",,R0,0,74764.39
43724,Public Works,PPE021 Sanitising of buildings,Samcho cleaning,Cleaning contracts - Lockdown,"13,489.48",3 weeks,Other UOM,4/9/2020,"R13,489.48",,R0,0,13489.48
43727,Health,Other,Pfizer Laboratories,Vaccines,166.81,4000460,Each,4/9/2021,"R667,330,449.72",14/04/2021,"R667,328,169",667328169,667330449.7
43728,Health,Other,Pfizer Laboratories,Vaccines,133.46,4484610,Each,4/9/2021,"R598,506,902.58",14/04/2021,"R598,506,902",598506902,598506902.6
43733,Western Cape - Education,PPE021 Sanitising of buildings,KATEMO GENERAL TRADING,0,789.75,1,Each,4/9/2021,R0.00,16/04/2021,R790,790,0
43734,Western Cape - Education,PPE021 Sanitising of buildings,KATEMO GENERAL TRADING,0,1.35,2015,per m2,4/9/2021,R0.00,16/04/2021,"R2,721",2721,0
43740,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",14,Each,4/10/2020,"R33,600.00",21/04/2020,"R33,600",33600,33600
43741,Eastern Cape - South African Social Security Agency,Food parcels,Bendalo Holdings,0,"2,400.00",36,Each,4/10/2020,"R86,400.00",5/8/2020,"R86,400",86400,86400
43742,Eastern Cape - South African Social Security Agency,Food parcels,Kwasa Food Suppliers,0,"2,400.00",44,Each,4/10/2020,"R105,600.00",21/04/2020,"R105,600",105600,105600
43752,Public Works,0,"Deejoy Construction, Cleaning and Distribution",QUOTATION : 7,0,0,0,4/11/2020,"R57,910.55",11/11/2020,"R57,911",57911,57910.55
43753,Public Works,75% alcohol based hand sanitizer refill with pump in a hygienically sealed package on as and when required basis (adherence to SANS 490,"Deejoy Construction, Cleaning and Distribution",75% alcohol based hand sanitizer refill with pump in a hygienically sealed package on as and when required basis (adherence to SANS 490,,5 Refills,1 Litre,4/11/2020,"R1,558.25",11/11/2020,"R1,558",1558,1558.25
43754,Public Works,DAYOUMED INFRARED THERMOMETER,"Deejoy Construction, Cleaning and Distribution",DAYOUMED INFRARED THERMOMETER,,5 Boxes of Thermometers,Each,4/11/2020,"R18,962.35",11/11/2020,"R18,962",18962,18962.35
43755,Public Works,ENERGIZER AAA RECHARGABLE BATTERY PACK FOR DAYOUMED INFRARED THERMOMETER,"Deejoy Construction, Cleaning and Distribution",ENERGIZER AAA RECHARGABLE BATTERY PACK FOR DAYOUMED INFRARED THERMOMETER,,3 packs of 4 thermometers each,Other UOM,4/11/2020,"R1,035.00",11/11/2020,"R1,035",1035,1035
43759,Public Works,Other,Masstores (PTY) LTD T/A Game Stores,AAA Batteries for Thermal Scanner,150,12,Other UOM,4/11/2020,R150.00,11/4/2020,R150,150,150
43760,Public Works,"OVERHEADS [Transports costs, Administrative Expense, Onsite inspection & Sundry expenses]","Deejoy Construction, Cleaning and Distribution","OVERHEADS [Transports costs, Administrative Expense, Onsite inspection & Sundry expenses]",,Monthly,Other UOM,4/11/2020,"R13,340.00",11/11/2020,"R13,340",13340,13340
43762,Public Works,SCOTT KIMDRI FOLDED PAPER HAND TOWELS,"Deejoy Construction, Cleaning and Distribution",SCOTT KIMDRI FOLDED PAPER HAND TOWELS,,20 Boxes of Paper hand Towels,Other UOM,4/11/2020,"R22,080.00",11/11/2020,"R22,080",22080,22080
43763,Public Works,Toilet seat cleaner refill in a hygienically sealed package,"Deejoy Construction, Cleaning and Distribution",Toilet seat cleaner refill in a hygienically sealed package,,3 Refills,Each,4/11/2020,R934.95,11/11/2020,R935,935,934.95
43769,Mpumalanga - Health,PPE016 Sterile examination or surgical gloves,EVERGREEN LATEX,0,280.89,400,Box of 100,4/12/2020,"R1,873,534.97",13/09/2021,"R112,355",112355,1873534.97
43856,Gauteng - Health,0,Chemical World,0,0,1230.5,0,5/1/2021,R0.00,24/06/2021,"R131,862",131862,0
43857,Gauteng - Health,0,Chemical World,0,0,124000,0,5/1/2021,"R7,208,456.00",24/06/2021,"R7,208,456",7208456,7208456
43858,Gauteng - Health,0,Chemical World,0,0,186000,0,5/1/2021,"R8,087,536.00",24/06/2021,"R11,779,672",11779672,8087536
43862,Eastern Cape - South African Social Security Agency,PPE017 2 Layer fabric cloth masks,Sinozinto Multi Purpose Co-Op,0,0,0,Each,5/2/2020,"R16,800.00",6/3/2020,"R16,800",16800,16800
43885,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"55,133.28",1,0,5/3/2021,"R55,133.28",5/12/2021,"R55,133",55133,55133.28
43886,Western Cape - Health,Human resources-services,HEALTH STAFF,0,"18,773.41",1,0,5/3/2021,"R18,773.41",19/05/2021,"R18,773",18773,18773.41
43887,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"36,003.28",1,0,5/3/2021,"R36,003.28",19/05/2021,"R36,003",36003,36003.28
43888,Western Cape - Health,Human resources-services,PREMIUM PERSONNEL,0,"74,198.00",1,0,5/3/2021,"R74,198.00",19/05/2021,"R74,198",74198,74198
43891,Western Cape - Health,PPE000 Other PPEs,TOP N NOS,CLEANING,"45,310.00",1,0,5/3/2021,"R45,310.00",19/05/2021,"R45,310",45310,45310
43901,Gauteng - Health,Apron plastic disposable 100/per pack,SAFARMEX,0,0.64,5000,Each,5/4/2020,"R3,200.00",,R0,0,3200
43902,Gauteng - Health,Apron plastic full body white single use,CENTRAL MEDICAL,0,0.32,15000,Each,5/4/2020,"R4,800.00",,R0,0,4800
43909,Gauteng - Health,Dusks mask various sizes 2020 FFP2,LEDLA STRUCTURAL DEVELOPMENT,0,41,500000,Each,5/4/2020,"R20,500,000.00",,R0,0,20500000
43915,Gauteng - Health,Gown isolation large 116x56x167x5x38cm,LECHOBA MEDICAL TECHNOLOGIES,0,59.95,5000,Each,5/4/2020,"R299,750.00",8/3/2020,"R299,750",299750,299750
43916,Gauteng - Health,Gown surgical l/sleeves large maz blue,Promed Technologies,0,23.83,2000,Each,5/4/2020,"R47,660.00",,R0,0,47660
43917,Gauteng - Health,Gown surgical l/sleeves medium maz blue,LOGAN MEDICAL AND SURGICAL,0,17.33,2000,Each,5/4/2020,"R34,660.00",,R0,0,34660
43918,Gauteng - Health,Gown surgical l/sleeves xxlarge maz blue,LOGAN MEDICAL AND SURGICAL,0,20,2000,Each,5/4/2020,"R40,000.00",,R0,0,40000
43919,Gauteng - Health,Mask face 3ply loops with tie disposable,HSB MERCANTILE INVESTMENTS,0,16,200000,Each,5/4/2020,"R3,200,000.00",,R0,0,3200000
43920,Gauteng - Health,Mask face surgical typ1 fluid single use,Chemical World,0,14.95,200,Other UOM,5/4/2020,"R2,990.00",,R0,0,2990
43921,Gauteng - Health,Mask surgical type N95;1 s,HSB MERCANTILE INVESTMENTS,0,46,5000,Other UOM,5/4/2020,"R230,000.00",,"R3,430,000",3430000,230000
43922,Gauteng - Health,Mask surgical type N95;1 s,LEDLA STRUCTURAL DEVELOPMENT,0,58,500000,Other UOM,5/4/2020,"R29,000,000.00",,"R46,465,116",46465116,29000000
43928,Eastern Cape - South African Social Security Agency,Other,Afriwaste Group,Cloth Masks and Gloves,0,0,Each,5/4/2020,"R312,294.00",22/05/2020,"R312,294",312294,312294
43936,Western Cape - Health,Other,Ilex (SA) (PTY)LTD,Bloodgas Analyser consumables,,2+2+4,EA,5/4/2020,"R37,393.40",6/11/2020,"R37,393",37393,37393.4
44026,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"43,481.94",1,0,5/4/2021,"R43,481.94",5/12/2021,"R43,482",43482,43481.94
44028,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,MEDICAL EQUIPMENT SET,443.81,2,0,5/4/2021,R887.62,5/12/2021,R888,888,887.62
44029,Western Cape - Health,PPE000 Other PPEs,Orthopaedic Textiles,Sterile swab,0.5,30000,0,5/4/2021,"R15,000.00",5/12/2021,"R15,000",15000,15000
44030,Western Cape - Health,PPE002 Surgical masks for healt care workers,NEW AGE MEDIDENT,0,6.44,600000,0,5/4/2021,"R3,864,000.00",5/10/2021,"R3,864,000",3864000,3864000
44031,Western Cape - Health,PPE003 Respirator mask,RAPITRADE 458,0,21.7,9360,0,5/4/2021,"R203,112.00",5/12/2021,"R203,112",203112,203112
44032,Mpumalanga - Health,PPE004 Apron,CENTRAL MEDICAL,0,39,1000,Box of 100,5/4/2021,"R44,291.00",7/9/2021,"R39,000",39000,44291
44033,Mpumalanga - Health,PPE004 Apron,CENTRAL MEDICAL,0,39,1500,Box of 100,5/4/2021,"R194,925.00",13/09/2021,"R58,500",58500,194925
44034,Mpumalanga - Health,PPE004 Apron,CENTRAL MEDICAL,0,39,2000,Box of 100,5/4/2021,"R194,925.00",7/9/2021,"R78,000",78000,194925
44035,Mpumalanga - Health,PPE004 Apron,CENTRAL MEDICAL,0,39,500,Box of 100,5/4/2021,"R194,925.00",13/09/2021,"R19,500",19500,194925
44039,Kwazulu Natal - Health,PPE015 Non-sterile examination gloves,Promed Technologies,0,363.18,30000,Box of 100,5/4/2021,"R10,895,400.00",,R0,0,10895400
44040,Western Cape - Health,PPE015 Non-sterile examination gloves,MEDTEX,0,8.75,1000000,0,5/4/2021,"R8,750,000.00",5/10/2021,"R8,750,000",8750000,8750000
44041,Western Cape - Health,PPE015 Non-sterile examination gloves,MEDTEX,0,1.75,636000,0,5/4/2021,"R1,113,000.00",5/10/2021,"R1,113,000",1113000,1113000
44042,Western Cape - Health,PPE016 Sterile examination or surgical gloves,SUPRA HEALTHCARE CAPE TOWN,0,0.26,20000,0,5/4/2021,"R5,290.00",5/12/2021,"R5,290",5290,5290
44043,Western Cape - Health,PPE016 Sterile examination or surgical gloves,MEDTEX,0,9.04,35000,0,5/4/2021,"R316,554.00",5/12/2021,"R316,554",316554,316554
44044,Western Cape - Health,PPE016 Sterile examination or surgical gloves,MEDTEX,0,9.04,51200,0,5/4/2021,"R463,073.28",5/12/2021,"R463,073",463073,463073.28
44048,Western Cape - Health,Security,PREMIUM PERSONNEL,0,"1,070.08",19,0,5/4/2021,"R20,331.52",5/12/2021,"R20,332",20332,20331.52
44051,Gauteng - Health,Cap theatre beret single use 100s,ALLENCO MEDICAL AND DENTAL SUPPLIES,0,2.37,100000,Box of 100,5/5/2020,"R237,000.00",,R0,0,237000
44055,Gauteng - Health,Dusks mask various sizes 2020 FFP2,SENATLA TRADING ENTERPRISE 180,0,41.36,100000,Each,5/5/2020,"R4,136,000.00",,R0,0,4136000
44056,Gauteng - Health,Dusks mask various sizes 2020 FFP2,DINAANE CONSULTING SERVICES,0,55,500000,Each,5/5/2020,"R27,500,000.00",,R0,0,27500000
44064,Gauteng - Health,Gown surgical high risk dispos med blue,Promed Technologies,0,23.14,2000,Each,5/5/2020,"R46,280.00",,R0,0,46280
44065,Gauteng - Health,Gown surgical xx-large 140x165cm,LMD ENGINEERING,0,149.5,150000,Each,5/5/2020,"R22,425,000.00",,"R67,845,000",67845000,22425000
44072,Kwazulu Natal - Health,Infrastructure,Royal Agricultural Society,0,"5,543,460.00",1,Box of 100,5/5/2020,"R5,543,460.00",21/08/2020,"R875,327",875327,5543460
44073,Western Cape - Health,Infrastructure,RAF Technology,Replace carpet with vinal floor for infection control,"14,791.88",1,EA,5/5/2020,"R14,791.88",15/05/2020,"R14,792",14792,14791.88
44075,Gauteng - Health,Mask face 3ply loops with tie disposable,ZAKHENI STRATEGIC SUPPLIES,0,19.95,1000000,Each,5/5/2020,"R19,950,000.00",,R0,0,19950000
44076,Gauteng - Health,Mask face 3ply loops with tie disposable,STEELWOOD INTERNATIONAL,0,16.5,1500000,Each,5/5/2020,"R24,750,000.00",,R0,0,24750000
44077,Gauteng - Health,Mask face 3ply loops with tie disposable,LMD ENGINEERING,0,16.04,2000000,Each,5/5/2020,"R32,080,000.00",,R0,0,32080000
44078,Gauteng - Health,Mask face 3ply loops with tie disposable,DINAANE CONSULTING SERVICES,0,19.9,500000,Each,5/5/2020,"R9,950,000.00",,R0,0,9950000
44079,Gauteng - Health,Mask face surgical typ1 fluid single use,SENATLA TRADING ENTERPRISE 180,0,12.5,3000000,Other UOM,5/5/2020,"R37,500,000.00",,R0,0,37500000
44080,Gauteng - Health,Mask surgical type N95;1 s,LMD ENGINEERING,0,66.7,200000,Pac,5/5/2020,"R13,340,000.00",,R0,0,13340000
44081,Gauteng - Health,Mask surgical type N95;1 s,LIORA MEDICAL SUPPLIES,0,7.7,24570,Other UOM,5/5/2020,"R189,189.00",22/05/2020,"R32,340",32340,189189
44082,Gauteng - Health,Mask surgical type N95;1 s,SENATLA TRADING ENTERPRISE 180,0,60,300000,Other UOM,5/5/2020,"R18,000,000.00",,R0,0,18000000
44086,Kwazulu Natal - Health,Other,Arjo Huntleigh South Africa (Pty) Ltd,Bedside Locker (Plastic),"1,691.71",86,Each,5/5/2020,"R145,487.08",27/10/2020,"R145,457",145457,145487.08
44087,Kwazulu Natal - Health,Other,East Coast Medical CC,Oxygen flowmeter double,"1,366.93",133,Each,5/5/2020,"R181,801.69",18/05/2020,"R181,802",181802,181801.69
44088,Kwazulu Natal - Health,Other,East Coast Medical CC,Oxygen flowmeter double,"1,366.93",26,Each,5/5/2020,"R35,540.18",26/05/2020,"R35,540",35540,35540.18
44089,Kwazulu Natal - Health,Other,East Coast Medical CC,Oxygen flowmeter double,"1,366.93",42,Each,5/5/2020,"R57,411.06",17/04/2020,"R57,411",57411,57411.06
44090,Kwazulu Natal - Health,Other,Arjo Huntleigh South Africa (Pty) Ltd,Ripple Matress and pump,"6,353.17",8,Each,5/5/2020,"R50,825.36",15/10/2020,"R50,825",50825,50825.36
44091,Kwazulu Natal - Health,Other,SSEM Mthembu Medical,"Suction Unit, Electrical Mobile","5,385.17",19,Each,5/5/2020,"R102,318.23",6/3/2020,"R102,318",102318,102318.23
44092,Kwazulu Natal - Health,Other,SSEM Mthembu Medical,"Suction Unit, Electrical Wall Mounted Single","1,800.01",97,Each,5/5/2020,"R174,600.70",25/06/2020,"R174,601",174601,174600.7
44093,Kwazulu Natal - Health,Other,New Horizon Metals CC,"Trolley , mortuary","7,786.66",1,Each,5/5/2020,"R7,786.66",17/07/2020,"R7,787",7787,7786.66
44094,Kwazulu Natal - Health,Other,Thokomala Mobility Services,"Wheelchair, porter type with drip rod","3,753.06",16,Each,5/5/2020,"R60,048.96",14/07/2020,"R60,049",60049,60048.96
44130,Defence,PPE001 Surgical masks for patients,Futurenett Supplies and Projects 125 (Pty) Ltd,0,26.5,20000,Each (Box of 50),5/5/2020,"R530,000.00",5/12/2020,"R530,000",530000,530000
44131,Defence,PPE001 Surgical masks for patients,Kgoroyaohle Trading,0,24,20000,Each (Box of 50),5/5/2020,"R480,000.00",5/12/2020,"R480,000",480000,480000
44132,Defence,PPE001 Surgical masks for patients,Nkoma  Supply and Projects,0,23.5,20000,Each (Box of 50),5/5/2020,"R470,000.00",5/12/2020,"R470,000",470000,470000
44133,Defence,PPE001 Surgical masks for patients,Puleng Development cc,0,20,20000,Each (Box of 50),5/5/2020,"R400,000.00",5/12/2020,"R400,000",400000,400000
44134,Defence,PPE001 Surgical masks for patients,Leemash Catering,0,26.5,30000,Each (Box of 50),5/5/2020,"R795,000.00",5/8/2020,"R795,000",795000,795000
44135,Defence,PPE001 Surgical masks for patients,Nwaxigawuri Trading (Pty) Ltd,0,22.5,40000,Each (Box of 50),5/5/2020,"R900,000.00",5/8/2020,"R900,000",900000,900000
44136,Defence,PPE001 Surgical masks for patients,Banthati Property Development,0,24,40000,Each (Box of 50),5/5/2020,"R960,000.00",5/12/2020,"R960,000",960000,960000
44137,Defence,PPE001 Surgical masks for patients,Roxports (Pty) Ltd,0,21,40000,Each (Box of 50),5/5/2020,"R840,000.00",5/12/2020,"R840,000",840000,840000
44138,Defence,PPE001 Surgical masks for patients,ZAKHENI STRATEGIC SUPPLIES,0,26,40000,Each (Box of 50),5/5/2020,"R1,040,000.00",5/12/2020,"R1,040,000",1040000,1040000
44139,Defence,PPE001 Surgical masks for patients,Moreje Construction,0,21,40000,Each (Box of 50),5/5/2020,"R840,000.00",14/05/2020,"R840,000",840000,840000
44140,Defence,PPE001 Surgical masks for patients,HLCB Holdings,0,28.95,50000,Each (Box of 50),5/5/2020,"R1,447,500.00",5/12/2020,"R1,447,500",1447500,1447500
44141,Defence,PPE001 Surgical masks for patients,MN Group (Pty) Ltd,0,27,50000,Each (Box of 50),5/5/2020,"R1,350,000.00",5/12/2020,"R1,350,000",1350000,1350000
44142,Defence,PPE001 Surgical masks for patients,Imonti Tours,Thermometer,87.66,50000,Each (Box of 50),5/5/2020,"R4,383,225.00",5/12/2020,"R4,383,225",4383225,4383225
44148,Mpumalanga - Health,PPE002 Surgical masks for healt care workers,CLINIPRO,0,19.55,14600,Each,5/5/2020,"R4,887,500.00",7/9/2020,"R285,430",285430,4887500
44149,Mpumalanga - Health,PPE002 Surgical masks for healt care workers,CLINIPRO,0,19.55,250000,Each,5/5/2020,"R4,887,500.00",7/9/2020,"R4,887,500",4887500,4887500
44159,Eastern Cape - South African Social Security Agency,PPE011 Digital thermometer,In Your Tank Petroleum (Pty)Ltd,0,0,7,Each,5/5/2020,"R86,800.00",29/05/2020,"R86,800",86800,86800
44172,Eastern Cape - South African Social Security Agency,PPE017 2 Layer fabric cloth masks,Imvelo Sewing Co-op,0,0,0,Each,5/5/2020,"R23,800.00",15/05/2020,"R23,800",23800,23800
44173,Eastern Cape - South African Social Security Agency,PPE017 2 Layer fabric cloth masks,Golden Stitches 1 Co Op,0,0,274,Each,5/5/2020,"R19,180.00",29/05/2020,"R19,180",19180,19180
44218,Western Cape - Health,0,CILLTEC HYGIENE AND PEST CONTROL,0,"9,545.00",1,0,5/5/2021,"R9,545.00",5/12/2021,"R9,545",9545,9545
44219,Western Cape - Health,0,ITC PEST CONTROL SERVICES AND SOLUTIONS,0,"1,328.25",1,0,5/5/2021,"R1,328.25",5/12/2021,"R1,328",1328,1328.25
44220,Western Cape - Health,Electronics,LOGTAG DIGITAL TRACKING,0,959.93,200,0,5/5/2021,"R191,986.00",5/12/2021,"R191,986",191986,191986
44221,Western Cape - Health,Electronics,ENVIROGANICS,0,966,50,0,5/5/2021,"R48,300.00",5/12/2021,"R48,300",48300,48300
44222,Western Cape - Health,Electronics,LOGTAG DIGITAL TRACKING,0,959.93,53,0,5/5/2021,"R50,876.29",5/12/2021,"R50,876",50876,50876.29
44223,Western Cape - Health,Food parcels,TRIPLE PEAKS COMMODITIES,0,68,6,0,5/5/2021,R408.00,5/12/2021,R408,408,408
44225,Western Cape - Health,Other,HOME FROM HOME GROUP,ACCOMMODATION,"577,500.00",1,0,5/5/2021,"R577,500.00",5/12/2021,"R577,500",577500,577500
44226,Western Cape - Health,Other,TRIGON TRAVEL,ACCOMMODATION,"486,105.00",1,0,5/5/2021,"R486,105.00",5/12/2021,"R486,105",486105,486105
44227,Western Cape - Health,Other,TRIGON TRAVEL,Accommodation and Meals,"26,565.00",1,0,5/5/2021,"R26,565.00",19/05/2021,"R26,565",26565,26565
44228,Western Cape - Health,Other,TRIPLE PEAKS COMMODITIES,Hire of Container,"5,100.00",1,0,5/5/2021,"R5,100.00",5/12/2021,"R5,100",5100,5100
44229,Western Cape - Health,Other,BIDVEST OFFICE,Hire of Photocopy Machine,"4,299.22",1,0,5/5/2021,"R4,299.22",5/12/2021,"R4,299",4299,4299.22
44230,Western Cape - Health,Other,MINUS 40,VACCINE FRIDGE,"87,441.40",1,0,5/5/2021,"R87,441.40",5/12/2021,"R87,441",87441,87441.4
44232,Western Cape - Health,PPE000 Other PPEs,COMPASS MEDICAL WASTE SERVICES,MEDICAL EQUIPMENT SET,"1,331.43",2,0,5/5/2021,"R2,662.86",5/12/2021,"R2,663",2663,2662.86
44234,Western Cape - Health,PPE001 Surgical masks for patients,ALLENCO MEDICAL AND DENTAL SUPPLIES,0,12.43,3000,0,5/5/2021,"R37,290.00",5/12/2021,"R37,290",37290,37290
